TG-43 Brachytherapy Source Data for Nucletron microSelectron-v2 HDR Ir-192

Dose Rate Constant: 1.109
Source Length (cm): 0.35

Radial Dose Function
--------------------
0,1.27562
0.06,1.27562
0.08,1.19898
0.1,1.10978
0.15,1.01834
0.2,1.0006
0.25,0.99471
0.5,0.9967
0.75,0.99833
1,1
1.5,1.00277
2,1.00501
3,1.00752
4,1.00674
5,1.00261
6,0.99552
8,0.9724
10,0.93894
end radial dose function data

2D Anisotropy Factor
--------------------
130,1.05561,1.05561,1.08007,1.10453,1.04671,1.00302,0.98549,0.97632,0.97494,0.97387,0.97092,0.97084,0.97116,0.97169,0.97266,0.97389,0.97478,0.97536,0.97652,0.97768
132,1.04259,1.04259,1.07656,1.11053,1.05838,1.00235,0.98169,0.97376,0.97176,0.97039,0.96722,0.96696,0.96775,0.96819,0.96923,0.97043,0.97155,0.97231,0.97396,0.97463
134,1.02149,1.02149,1.07816,1.13483,1.06795,1.00695,0.98196,0.97065,0.9684,0.96663,0.96316,0.96277,0.96348,0.96426,0.96549,0.96671,0.96805,0.96897,0.97048,0.97161
136,1.0108,1.0108,1.07458,1.13836,1.07601,1.01378,0.97945,0.96684,0.96443,0.9626,0.9585,0.95845,0.95881,0.95966,0.96103,0.96239,0.96392,0.96474,0.9668,0.96847
138,1.07979,1.07979,1.11276,1.14573,1.09799,1.01618,0.97729,0.9632,0.9605,0.95836,0.95355,0.95296,0.95388,0.95459,0.95643,0.95792,0.95966,0.9609,0.96288,0.96489
140,0.98342,0.98342,1.06827,1.15312,1.11335,1.02041,0.98201,0.96125,0.95573,0.95355,0.94787,0.94747,0.94831,0.94919,0.95123,0.95327,0.95498,0.95655,0.95883,0.96076
144,1.183556,1.183556,1.176268,1.16898,1.15076,1.03283,0.97756,0.95098,0.94492,0.94221,0.93566,0.93502,0.93558,0.93688,0.93952,0.94205,0.94422,0.94638,0.94937,0.95199
148,1.140494,1.140494,1.154542,1.16859,1.20371,1.03135,0.97555,0.94233,0.93156,0.92779,0.91943,0.91929,0.92032,0.92164,0.92524,0.92852,0.93137,0.93426,0.93827,0.94199
150,1.098804,1.098804,1.128452,1.1581,1.23222,1.05171,0.96716,0.92968,0.92306,0.91953,0.91058,0.90995,0.91172,0.91285,0.91677,0.9205,0.92385,0.92678,0.93205,0.93601
154,1.631016,1.631016,1.554088,1.47716,1.28484,1.09252,0.95916,0.91371,0.90351,0.89923,0.88867,0.88834,0.89,0.89316,0.89754,0.90263,0.90718,0.91126,0.91771,0.92317
158,1.725362,1.725362,1.636186,1.54701,1.32407,1.10113,0.94729,0.8963,0.87879,0.87331,0.86142,0.86112,0.86362,0.86704,0.87348,0.88039,0.88635,0.89143,0.9001,0.90707
160,1.741162,1.741162,1.649486,1.55781,1.32862,1.09943,0.93709,0.87994,0.86313,0.85766,0.8451,0.84489,0.84773,0.8516,0.85978,0.86682,0.87386,0.87943,0.8898,0.89799
162,1.515344,1.515344,1.451992,1.38864,1.23026,1.07188,0.9135,0.86243,0.84614,0.84029,0.82694,0.82636,0.82999,0.83459,0.84436,0.8521,0.85958,0.86654,0.87813,0.88695
164,1.381752,1.381752,1.330836,1.27992,1.15263,1.02534,0.89805,0.8429,0.8264,0.82014,0.80558,0.80546,0.80953,0.81482,0.82544,0.83521,0.84422,0.85192,0.86551,0.87602
166,1.96124,1.96124,1.84528,1.72932,1.43942,1.14952,0.85962,0.81933,0.80421,0.79682,0.7808,0.78063,0.78595,0.79226,0.80444,0.81571,0.82609,0.83508,0.85091,0.86312
168,1.03629,1.03629,1.01613,0.99597,0.94557,0.89517,0.84477,0.79437,0.77944,0.77042,0.75322,0.75365,0.75957,0.76689,0.78155,0.79426,0.80599,0.81642,0.8346,0.84897
170,0.894088,0.894088,0.884264,0.87444,0.84988,0.82532,0.80076,0.7762,0.75164,0.74135,0.72135,0.72203,0.72865,0.73745,0.75418,0.76947,0.78336,0.79564,0.81652,0.83388
172,0.879972,0.879972,0.870036,0.8601,0.83526,0.81042,0.78558,0.76074,0.7359,0.71106,0.6855,0.68615,0.69475,0.70488,0.7246,0.74171,0.75779,0.77213,0.79624,0.81528
174,0.6262292,0.6262292,0.6266456,0.627062,0.628103,0.629144,0.630185,0.631226,0.632267,0.633308,0.640595,0.6458,0.65621,0.66867,0.69203,0.71147,0.73011,0.74652,0.77435,0.7965
176,0.574808,0.574808,0.575384,0.57596,0.5774,0.57884,0.58028,0.58172,0.58316,0.5846,0.59468,0.60188,0.61628,0.63043,0.65825,0.67795,0.69872,0.71787,0.74907,0.77341
178,0.5361024,0.5361024,0.5366832,0.537264,0.538716,0.540168,0.54162,0.543072,0.544524,0.545976,0.55614,0.5634,0.57792,0.59451,0.62487,0.63775,0.65971,0.68189,0.71726,0.74559
180,0.4974444,0.4974444,0.4980292,0.498614,0.500076,0.501538,0.503,0.504462,0.505924,0.507386,0.51762,0.52493,0.53955,0.55858,0.59149,0.59755,0.62071,0.64591,0.68546,0.71776
end 2d anisotropy factor data
